,ni,nj,nk,disruption,name,confidence
mn0000114342,66.0,61.0,1973.0,0.002380952380952381,The Doors,0.6499
mn0000567190,11.0,13.0,1409.0,-0.0013956734124214933,? & the Mysterians,0.6106
mn0000749734,16.0,24.0,2656.0,-0.002967359050445104,Slade,0.8478
mn0000100160,169.0,278.0,1509.0,-0.05572597137014315,The Kinks,1.0
mn0000923432,17.0,6.0,454.0,0.023060796645702306,The Wailers,0.9546
mn0000562304,174.0,191.0,2935.0,-0.005151515151515152,The Stooges,0.8045
mn0000852855,35.0,144.0,3273.0,-0.03157589803012746,Roxy Music,1.0
mn0000894465,362.0,274.0,1997.0,0.03342195214584125,The Rolling Stones,0.9993
mn0000596126,3.0,43.0,3400.0,-0.011607661056297156,Mott the Hoople,1.0
mn0000500664,9.0,31.0,2562.0,-0.008455034588777863,The Seeds,0.9978
mn0000469286,3.0,6.0,2227.0,-0.0013416815742397137,The Music Machine,0.7118
mn0000204708,11.0,8.0,1296.0,0.0022813688212927757,Dr. Feelgood,0.6951
mn0001765718,1.0,0.0,831.0,0.001201923076923077,39 Clocks,0.5869
mn0000645612,145.0,92.0,3049.0,0.016129032258064516,Can,0.9997
mn0000840402,379.0,128.0,1594.0,0.11946692051404094,The Velvet Underground,1.0
mn0000889258,2.0,1.0,1047.0,0.0009523809523809524,Michael Yonkers,0.5782
mn0000792275,8.0,8.0,1491.0,0.0,The Electric Eels,0.4946
mn0000793329,45.0,41.0,2510.0,0.0015408320493066256,Faust,0.643
mn0000126998,7.0,15.0,1354.0,-0.005813953488372093,The Count Five,0.8937
mn0000504928,30.0,24.0,2791.0,0.00210896309314587,The 13th Floor Elevators,0.7637
mn0000180263,10.0,25.0,2437.0,-0.006067961165048544,Flamin' Groovies,0.9785
mn0000809999,4.0,9.0,973.0,-0.005070993914807302,UFO,0.806
mn0000084209,43.0,116.0,3476.0,-0.020082530949105913,Kiss,1.0
mn0000604852,36.0,77.0,3291.0,-0.012044653349001176,Aerosmith,0.9997
mn0000574772,88.0,72.0,1746.0,0.008394543546694649,AC/DC,0.8899
mn0000139026,213.0,208.0,2873.0,0.0015179113539769277,Led Zeppelin,0.5799
mn0000239827,42.0,9.0,1625.0,0.019689737470167064,John Mayer,1.0
mn0000531986,215.0,320.0,3944.0,-0.02344273275284662,David Bowie,1.0
mn0000137390,161.0,127.0,4186.0,0.007599463567277604,The Cure,0.9729
mn0000615119,109.0,70.0,1536.0,0.022740524781341108,Tom Waits,0.9983
mn0000129775,82.0,63.0,1054.0,0.0158465387823186,Parliament,0.9342
mn0000864652,10.0,4.0,500.0,0.011673151750972763,RZA,0.85
mn0000361393,144.0,117.0,2022.0,0.011826544021024968,Prince,0.9459
mn0000428717,32.0,30.0,1451.0,0.0013218770654329147,The Sonics,0.5864
mn0000276085,92.0,56.0,275.0,0.0851063829787234,Howlin' Wolf,0.9968
mn0000959876,46.0,21.0,594.0,0.037821482602118005,Wu-Tang Clan,0.9959
mn0000115140,3.0,0.0,621.0,0.004807692307692308,Commander Cody and His Lost Planet Airmen,0.7418
mn0000845468,2.0,8.0,1245.0,-0.004780876494023904,Jerry Jeff Walker,0.8621
mn0000003829,73.0,17.0,157.0,0.22672064777327935,T-Bone Walker,1.0
mn0000287604,59.0,26.0,349.0,0.07603686635944701,Louis Jordan,0.9993
mn0000120521,147.0,88.0,921.0,0.05103806228373702,Chuck Berry,1.0
mn0000055128,59.0,48.0,512.0,0.017770597738287562,Bo Diddley,0.8391
mn0000029334,0.0,2.0,422.0,-0.0047169811320754715,Slim Whitman,0.6766
mn0000020403,3.0,4.0,184.0,-0.005235602094240838,Tennessee Ernie Ford,0.5791
mn0000074970,45.0,27.0,458.0,0.033962264150943396,Bob Wills,0.9705
mn0000988440,66.0,64.0,3532.0,0.0005461496450027307,Grateful Dead,0.5548
mn0000806877,11.0,14.0,363.0,-0.007731958762886598,Ruth Brown,0.6761
mn0000260038,12.0,35.0,695.0,-0.03099730458221024,Dinah Washington,0.9982
mn0000016142,7.0,4.0,9.0,0.15,Sippie Wallace,0.7077
mn0000218944,4.0,3.0,78.0,0.011764705882352941,Victoria Spivey,0.5787
